"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008216","spermidine metabolic process","1/2","10/25615",0.1,1280.75,35.7673054705305,0.000780655330726465,0.0204825479323952,NA,"Srm",1
"GO:0006596","polyamine biosynthetic process","1/2","14/25615",0.0714285714285714,914.821428571428,30.2218027344397,0.00109283211051403,0.0204825479323952,NA,"Srm",1
"GO:0045652","regulation of megakaryocyte differentiation","1/2","22/25615",0.0454545454545455,582.159090909091,24.0973482195506,0.00171703935151246,0.0204825479323952,NA,"Prmt1",1
"GO:0006595","polyamine metabolic process","1/2","23/25615",0.0434782608695652,556.847826086957,23.5662885861904,0.00179505153927084,0.0204825479323952,NA,"Srm",1
"GO:2000042","negative regulation of double-strand break repair via homologous recombination","1/2","29/25615",0.0344827586206897,441.637931034483,20.9798875577154,0.00226306065144311,0.0204825479323952,NA,"Prmt1",1
"GO:0045648","positive regulation of erythrocyte differentiation","1/2","31/25615",0.032258064516129,413.145161290323,20.2894514191259,0.0024190393024045,0.0204825479323952,NA,"Prmt1",1
"GO:2000780","negative regulation of double-strand break repair","1/2","40/25615",0.025,320.1875,17.8521910267696,0.00312079234069829,0.0204825479323952,NA,"Prmt1",1
"GO:0009309","amine biosynthetic process","1/2","41/25615",0.024390243902439,312.378048780488,17.63210106361,0.00319874965899025,0.0204825479323952,NA,"Srm",1
"GO:0042401","biogenic amine biosynthetic process","1/2","41/25615",0.024390243902439,312.378048780488,17.63210106361,0.00319874965899025,0.0204825479323952,NA,"Srm",1
"GO:0045738","negative regulation of DNA repair","1/2","41/25615",0.024390243902439,312.378048780488,17.63210106361,0.00319874965899025,0.0204825479323952,NA,"Prmt1",1
"GO:0046329","negative regulation of JNK cascade","1/2","42/25615",0.0238095238095238,304.940476190476,17.4199065591238,0.00327670392897861,0.0204825479323952,NA,"Prmt1",1
"GO:0045947","negative regulation of translational initiation","1/2","46/25615",0.0217391304347826,278.423913043478,16.6413828889107,0.00358849052589516,0.0204825479323952,NA,"Prmt1",1
"GO:1905168","positive regulation of double-strand break repair via homologous recombination","1/2","46/25615",0.0217391304347826,278.423913043478,16.6413828889107,0.00358849052589516,0.0204825479323952,NA,"Prmt1",1
"GO:0045646","regulation of erythrocyte differentiation","1/2","53/25615",0.0188679245283019,241.650943396226,15.4971402609225,0.0041339997108073,0.0204825479323952,NA,"Prmt1",1
"GO:0030219","megakaryocyte differentiation","1/2","54/25615",0.0185185185185185,237.175925925926,15.3520742468935,0.0042119174011519,0.0204825479323952,NA,"Prmt1",1
"GO:0031670","cellular response to nutrient","1/2","55/25615",0.0181818181818182,232.863636363636,15.2109745039703,0.00428983204319222,0.0204825479323952,NA,"Prmt1",1
"GO:0006479","protein methylation","1/2","56/25615",0.0178571428571429,228.705357142857,15.073663237407,0.00436774363692916,0.0204825479323952,NA,"Prmt1",1
"GO:0008213","protein alkylation","1/2","56/25615",0.0178571428571429,228.705357142857,15.073663237407,0.00436774363692916,0.0204825479323952,NA,"Prmt1",1
"GO:0045910","negative regulation of DNA recombination","1/2","56/25615",0.0178571428571429,228.705357142857,15.073663237407,0.00436774363692916,0.0204825479323952,NA,"Prmt1",1
"GO:0030514","negative regulation of BMP signaling pathway","1/2","64/25615",0.015625,200.1171875,14.0934805669889,0.00499092664789136,0.0204825479323952,NA,"Prmt1",1
"GO:1904262","negative regulation of TORC1 signaling","1/2","66/25615",0.0151515151515152,194.05303030303,13.876665297335,0.0051466919175952,0.0204825479323952,NA,"Prmt1",1
"GO:0034198","cellular response to amino acid starvation","1/2","67/25615",0.0149253731343284,191.15671641791,13.7719073636018,0.00522456997999177,0.0204825479323952,NA,"Prmt1",1
"GO:0061462","protein localization to lysosome","1/2","68/25615",0.0147058823529412,188.345588235294,13.6694628321275,0.00530244499408428,0.0204825479323952,NA,"Prmt1",1
"GO:1990928","response to amino acid starvation","1/2","72/25615",0.0138888888888889,177.881944444444,13.2811987527578,0.00561391456741811,0.0204825479323952,NA,"Prmt1",1
"GO:1904263","positive regulation of TORC1 signaling","1/2","73/25615",0.0136986301369863,175.445205479452,13.1891404511441,0.00569177433999268,0.0204825479323952,NA,"Prmt1",1
"GO:0045911","positive regulation of DNA recombination","1/2","81/25615",0.0123456790123457,158.117283950617,12.5149904071283,0.00631454278165455,0.0204825479323952,NA,"Prmt1",1
"GO:0010569","regulation of double-strand break repair via homologous recombination","1/2","85/25615",0.0117647058823529,150.676470588235,12.2140885705677,0.00662585384319692,0.0204825479323952,NA,"Prmt1",1
"GO:0032007","negative regulation of TOR signaling","1/2","89/25615",0.0112359550561798,143.904494382022,11.9336414234223,0.00693711613188086,0.0204825479323952,NA,"Prmt1",1
"GO:0006576","biogenic amine metabolic process","1/2","90/25615",0.0111111111111111,142.305555555556,11.8664576023012,0.0070149240832923,0.0204825479323952,NA,"Srm",1
"GO:0045638","negative regulation of myeloid cell differentiation","1/2","92/25615",0.0108695652173913,139.211956521739,11.7353796500603,0.00717053084120478,0.0204825479323952,NA,"Prmt1",1
"GO:0032008","positive regulation of TOR signaling","1/2","94/25615",0.0106382978723404,136.25,11.6084926968492,0.00732612540590272,0.0204825479323952,NA,"Prmt1",1
"GO:0072665","protein localization to vacuole","1/2","98/25615",0.0102040816326531,130.688775510204,11.366430387277,0.00763727795565405,0.0204825479323952,NA,"Prmt1",1
"GO:2000781","positive regulation of double-strand break repair","1/2","101/25615",0.0099009900990099,126.806930693069,11.1943647606028,0.00787061036077874,0.0204825479323952,NA,"Prmt1",1
"GO:0009308","amine metabolic process","1/2","102/25615",0.00980392156862745,125.563725490196,11.1386968864719,0.00794838173254664,0.0204825479323952,NA,"Srm",1
"GO:0006446","regulation of translational initiation","1/2","105/25615",0.00952380952380952,121.97619047619,10.9764726704708,0.00818167755802712,0.0204825479323952,NA,"Prmt1",1
"GO:1903432","regulation of TORC1 signaling","1/2","108/25615",0.00925925925925926,118.587962962963,10.821028210787,0.0084149459487749,0.0204825479323952,NA,"Prmt1",1
"GO:0030510","regulation of BMP signaling pathway","1/2","110/25615",0.00909090909090909,116.431818181818,10.7209356845097,0.00857044296775467,0.0204825479323952,NA,"Prmt1",1
"GO:0090288","negative regulation of cellular response to growth factor stimulus","1/2","111/25615",0.00900900900900901,115.382882882883,10.6719026133726,0.00864818690478908,0.0204825479323952,NA,"Prmt1",1
"GO:0045639","positive regulation of myeloid cell differentiation","1/2","122/25615",0.00819672131147541,104.979508196721,10.172803999907,0.00950316902412573,0.021542883286533,NA,"Prmt1",1
"GO:0038202","TORC1 signaling","1/2","124/25615",0.00806451612903226,103.286290322581,10.0892366736755,0.00965858069060266,0.021542883286533,NA,"Prmt1",1
"GO:0043414","macromolecule methylation","1/2","126/25615",0.00793650793650794,101.646825396825,10.0076574255709,0.00981398016386503,0.021542883286533,NA,"Prmt1",1
"GO:0051053","negative regulation of DNA metabolic process","1/2","134/25615",0.00746268656716418,95.5783582089552,9.69972477920892,0.010435456124767,0.0218597378799072,NA,"Prmt1",1
"GO:0000018","regulation of DNA recombination","1/2","144/25615",0.00694444444444444,88.9409722222222,9.35132145774423,0.0112120267285631,0.0218597378799072,NA,"Prmt1",1
"GO:0045739","positive regulation of DNA repair","1/2","146/25615",0.00684931506849315,87.722602739726,9.28594827909916,0.0113673042696785,0.0218597378799072,NA,"Prmt1",1
"GO:2000779","regulation of double-strand break repair","1/2","150/25615",0.00666666666666667,85.3833333333333,9.15912406820968,0.0116778227722645,0.0218597378799072,NA,"Prmt1",1
"GO:0090101","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","1/2","161/25615",0.0062111801242236,79.5496894409938,8.83492497991867,0.0125314971693226,0.0218597378799072,NA,"Prmt1",1
"GO:0032006","regulation of TOR signaling","1/2","162/25615",0.00617283950617284,79.0586419753086,8.80709103690729,0.0126090856428696,0.0218597378799072,NA,"Prmt1",1
