"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",128,0.339216040560619,1.4156703758935,0.0183033880471884,0.0677745492630776,0.0413781458658789,4054,"tags=32%, list=21%, signal=26%","Ctsl/Sqstm1/Hmox1/Junb/Bcl2l11/H2-M3/Ggh/Mmp14/Irf1/Amd1/Fos/H2ax/Olfm1/Hspa2/Hyal2/Btg1/Tap1/Mgat1/Prkcd/Bak1/Eno2/Klhdc3/Ago2/Gls/Alas1/Plcl1/Grina/Prkaca/Il6/Ap2s1/Rrad/Tgfbrap1/Cltb/Wiz/Atp6v1c1/Stk25/Tfrc/Car2/Ephx1/Polr2h/Nr4a1",0.352487857583619
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",136,0.336326889105106,1.40024989894877,0.0135797060754388,0.0677745492630776,0.0413781458658789,2289,"tags=24%, list=12%, signal=22%","Inhba/Gpnmb/Il2rg/Itgb2/Sox9/Gng11/Ets1/Slpi/Avl9/Dnmbp/Trib2/Prrx1/Fcer1g/Ccnd2/Arg1/St6gal1/Ptgs2/Nrp1/Tnfrsf1b/Ly96/Mmp10/Scn1b/Scg5/Itga2/Zfp277/Spp1/C3ar1/Btc/Jup/Sdccag8/Adgra2/Adam17/Nin",0.380730400722792
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",65,-0.355050010704699,-1.39460177168497,0.0408634764656679,0.10215869116417,0.0623705693423353,2617,"tags=31%, list=13%, signal=27%","Idi1/Fbxo6/Abca2/Atf3/Plaur/Nfil3/Atf5/Mvd/Hmgcr/Fdft1/Lgals3/Fdps/Sc5d/Cyp51/Ethe1/Sqle/Atxn2/Actg1/Pmvk/Anxa5",0.321775918075361
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",159,0.320749884489002,1.37557588369003,0.0203323647789233,0.0677745492630776,0.0413781458658789,3093,"tags=28%, list=16%, signal=24%","Tnrc6b/Gclc/Blvrb/Mgst3/P4ha2/Smox/Khnyn/Ppox/Klf3/Tfdp2/Gclm/Bnip3l/Kdm7a/Ypel5/Map2k3/Mocos/Marchf8/Nr3c1/H4c14/Tns1/Lamp2/Ctns/Slc7a11/Aldh6a1/Atg4a/Cpox/Clcn3/Nfe2l1/Atp6v0a1/Rbm5/Sec14l1/Ezh1/Narf/Slc2a1/Cat/Slc25a37/Cdr2/C3/Lpin2/Ctsb/Ell2/Myl4/Slc11a2/Riok3",0.352487857583619
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",136,0.328155879014357,1.3662310428165,0.0222095972286874,0.069404991339648,0.0423735736599956,2938,"tags=26%, list=15%, signal=23%","Ctsl/Cp/Clu/Stx4a/Timp2/Gnb4/Psmb9/Pla2g7/Cd59b/Brpf3/Kif2a/Pim1/Fcer1g/Mmp14/Irf1/Zeb1/Prcp/Ctsh/Lamp2/Prdm4/Prkcd/Usp8/Ctsd/Pla2g4a/Lta4h/Casp7/Cda/Gca/Ctso/C3/Usp14/Hspa5/Ctsb/Dock9/Il6/Casp1",0.352487857583619
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",150,0.324751634490038,1.36574777954014,0.0201153849336052,0.0677745492630776,0.0413781458658789,2127,"tags=23%, list=11%, signal=20%","Col3a1/Inhba/Bgn/Gas1/Mfap5/Grem1/Htra1/Sparc/Col1a2/Cd59b/Dcn/Tgm2/Prrx1/Mmp14/Glipr1/Edil3/Mmp3/Pdgfrb/Pdlim4/Gadd45a/Itgb5/Matn2/Lamc1/Pfn2/Jun/Ecm1/Crlf1/Itgb3/Eno2/Itga2/Col4a1/Col16a1/Spp1/Dab2",0.352487857583619
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",183,-0.294654190193548,-1.36342302898505,0.0180927571661829,0.0677745492630776,0.0413781458658789,2488,"tags=23%, list=13%, signal=21%","Mrpl11/Acadvl/Mrps15/Dld/Retsat/Phb2/Ndufs2/Oat/Slc25a20/Idh2/Mrpl35/Uqcr10/Cox7b/Dlst/Supv3l1/Timm50/Ndufb3/Mpc1/Ndufb7/Atp6v0c/Ndufa5/Uqcrc1/Fdx1/Ndufb8/Mrpl15/Cox5a/Idh3a/Rhot2/Hspa9/Timm17a/Cycs/Fh1/Surf1/Ndufs8/Ndufc1/Prdx3/Ndufa8/Ndufa7/Timm9/Cox17/Timm10/Uqcrq/Cox8a",0.352487857583619
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",145,-0.30467786773705,-1.35525979089106,0.0188694967797665,0.0677745492630776,0.0413781458658789,3083,"tags=24%, list=16%, signal=20%","Sdcbp/Polr1d/Rbx1/Dguok/Adrm1/Taf12/Ak3/Taf13/Polr2a/Ssrp1/Taf10/Mpc2/Pold4/Ccno/Pola2/Srsf6/Polr2i/Bola2/Nt5c/Surf1/Edf1/Polh/Tyms/Dad1/Pole4/Rfc2/Clp1/Gtf2a2/Polr2g/Polr1h/Nme1/Cox17/Dut/Aprt/Sac3d1",0.352487857583619
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",127,-0.30615936632636,-1.34583666908149,0.037762891769748,0.099376030973021,0.0606716820677391,2280,"tags=21%, list=12%, signal=19%","Raf1/P2ry2/Ripk2/Ptpre/Atp2a2/Plaur/Csf1/Icosl/Adora2b/Selenos/Eif2ak2/Ifitm1/Cd14/Slc31a1/Cxcl10/Irf7/Ccl5/Cxcl11/Hbegf/Nfkbia/Tnfaip6/Bst2/Myc/Gch1/Slamf1/Ccl2/Ccl7",0.321775918075361
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",169,-0.286201458577637,-1.31741052938894,0.0320659495345643,0.0890720820404565,0.0543808500878576,2683,"tags=25%, list=14%, signal=22%","Traf1/Relb/Tnfsf9/Il6st/Bhlhe40/Tank/Egr1/Ccnd1/Gadd45b/Ripk2/Ptpre/Atf3/Plaur/Phlda1/Csf1/Areg/Maff/Btg3/Nfil3/Rhob/Icosl/Nfe2l2/Tnfaip8/Kdm6b/Cxcl10/F2rl1/Panx1/Pmepa1/Ccl5/Cxcl11/Sdc4/Cxcl1/Hbegf/Nfkbia/Yrdc/Tnfaip6/Myc/Plk2/Gch1/Nfkb2/Ehd1/Ccl2/Ccn1",0.321775918075361
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",188,-0.268535945783922,-1.24313484443699,0.0312214418589798,0.0890720820404565,0.0543808500878576,4297,"tags=35%, list=22%, signal=28%","Psma3/Rrp9/Tpi1/Wars1/Pdap1/Cacybp/Cct6a/Nupr1/Ppia/Ldlr/Stip1/Pno1/Serpinh1/Fads2/Eef1e1/Cops5/Dhfr/Ube2d3/Elovl5/Gapdh/Hspd1/Plk1/Psmd13/Rpa1/Mcm4/Idi1/Hmbs/Insig1/Bhlhe40/Pitpnb/Bub1/Ufm1/Atp2a2/Ppa1/Edem1/Nfil3/Psme3/Cth/Abcf2/Hmgcr/Arpc5l/Etf1/Actr3/Ifrd1/Psmc4/Plod2/Slc1a5/Psmd12/Eif2s2/Sc5d/Hspa9/Eno1/Cyp51/Psmd14/Nfyc/Psmb5/Sqle/Tubg1/Shmt2/Psph/Nup205/Serp1/Psmg1/Got1/Hspe1/Rrm2",0.352487857583619
