"gRNA","MYC_TARGETS","MTORC1","DNA_REPAIR","IFN_GAMMA","IFN_ALPHA","INFLAMMATORY"
"No_gRNA",0.337064303016215,0.139771078409397,0.0832112234197238,0.0734623279238442,0.0793710415966753,0.0370774043878417
"sgAxl",0.341166066608455,0.139427593853006,0.0862840734084011,0.0758819070540952,0.083379454417234,0.0357653255831956
"sgNC1",0.333436023783927,0.13440474172416,0.0835790499363224,0.0753950783721427,0.0817814164893239,0.0381144324474769
"sgNC2",0.340055722318237,0.138064566564299,0.084346255188276,0.0759422633071422,0.0823541664074392,0.0363838918357788
"sgPrmt1",0.325730892942532,0.133096152038744,0.0793812351822727,0.0757368314403383,0.0821458559228272,0.0363954311810811
"sgRipk1",0.332969017558327,0.137069378655126,0.0831676722923407,0.0792641640234346,0.0870852254279221,0.0390829464323102
