"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00037632167779857,0.420581392585051,0.823,0.754,1,"3","Armc1"
0.000382818541480288,0.659703909907644,0.638,0.525,1,"3","Fnbp1l"
0.00038555478276237,0.375045914216991,0.923,0.861,1,"3","Rbis"
0.000392406621168374,0.557498727290535,0.746,0.691,1,"3","Gchfr"
0.000399505539678495,0.794225364887482,0.523,0.401,1,"3","Impdh1"
0.000404457795990988,0.393868172641981,0.908,0.841,1,"3","Mrpl11"
0.000414743829609392,0.352851685322672,0.831,0.806,1,"3","Lgals9"
0.000432458323525826,0.336405940055573,0.915,0.892,1,"3","Mrpl43"
0.000436693923302114,0.695693440768038,0.515,0.37,1,"3","Cxcl16"
0.000448423152558625,0.506576311035352,0.623,0.487,1,"3","Slc16a1"
0.000450739620933494,0.336856842816509,0.869,0.828,1,"3","Cenpv"
0.000458851807456246,0.321738672463373,0.931,0.889,1,"3","Lhfpl6"
0.000471539865373404,0.30424276888015,0.877,0.841,1,"3","Pnp"
0.000478447408269074,0.432517460324662,0.8,0.799,1,"3","Tead1"
0.000481645595441732,0.660482914095942,0.546,0.43,1,"3","Rhod"
0.000488659933956963,0.569751258234198,0.585,0.479,1,"3","Polr2l"
0.000507127721846229,0.50502916470169,0.738,0.636,1,"3","Bop1"
0.000509284208447135,0.625661163856854,0.577,0.443,1,"3","Arhgdig"
0.000523137928982985,0.451262648715028,0.854,0.77,1,"3","Svbp"
0.000524580995435495,0.507679153303498,0.662,0.583,1,"3","Ankra2"
0.00053188713268044,0.80203309627983,0.377,0.247,1,"3","Hes6"
0.000532204410913659,0.333579680078768,0.923,0.918,1,"3","Psmc4"
0.000546525143318767,0.445650324544055,0.815,0.739,1,"3","Rpap3"
0.000547670514806406,0.777809191103131,0.523,0.44,1,"3","Tmem65"
0.000553235772356181,0.391861605885425,0.877,0.769,1,"3","Epb41l2"
0.000556782595262771,0.297693540863524,0.923,0.897,1,"3","Ndufaf2"
0.000561496837318531,0.3513124882477,0.892,0.828,1,"3","Anapc13"
0.000570661621807337,0.389724999213002,0.823,0.799,1,"3","Polr2i"
0.000574806799197698,0.685413525079296,0.431,0.313,1,"3","Zzef1"
0.000577048446744713,0.367921561188448,0.862,0.773,1,"3","Dnajb6"
0.000583725288916406,0.358224111212602,0.877,0.75,1,"3","Aopep"
0.000590758831996141,0.480627108526221,0.692,0.579,1,"3","Gnb4"
0.00059214268809416,0.274910730621804,0.992,0.976,1,"3","Ndufb11"
0.000595379960333112,0.646769484058704,0.569,0.447,1,"3","Swap70"
0.000606265090180502,1.02411860820814,0.3,0.182,1,"3","Gm56741"
0.000617591719757062,0.537538866046229,0.723,0.64,1,"3","Csrp1"
0.000623319335629116,0.924957000361771,0.269,0.155,1,"3","Hook2"
0.000645849228184653,0.341316802279641,0.862,0.761,1,"3","Ostf1"
0.000652366284452066,0.2671942941509,0.923,0.928,1,"3","Tbcb"
0.00067739901179977,0.527145848708694,0.6,0.483,1,"3","Cenps"
0.000684623362388355,0.358040903346581,0.908,0.841,1,"3","Tspan3"
0.000695528163431283,0.321002191171843,0.908,0.926,1,"3","Gkap1"
0.00070004309734296,0.728482230844713,0.446,0.326,1,"3","Sipa1"
0.000714876596449601,0.473219969654094,0.746,0.674,1,"3","Ide"
0.000716503157146805,0.449917963419849,0.669,0.54,1,"3","Hypk"
0.000731156374447685,0.703845516772864,0.538,0.43,1,"3","Abcd3"
0.00073406320981539,0.4805197761599,0.692,0.619,1,"3","Rnf115"
0.000738374436208809,0.300403255761588,0.938,0.912,1,"3","Ndufs5"
0.00073989866954414,0.511288804234279,0.654,0.539,1,"3","Haus1"
0.000741931939360825,0.852264961299078,0.385,0.267,1,"3","Rgs3"
0.000745224942345904,0.550903457364458,0.685,0.63,1,"3","Mast4"
0.000747194450148373,0.706763881716434,0.377,0.249,1,"3","Taf2"
0.000749474133045006,0.900122317344548,0.362,0.249,1,"3","Bhlhe40"
0.000757691681185065,1.18068598540688,0.262,0.154,1,"3","Lrba"
0.000758147313277429,0.582601951178591,0.538,0.412,1,"3","Ezh2"
0.000760245894906166,1.01267939104732,0.315,0.203,1,"3","Paxx"
0.000770293908973727,0.912441457614826,0.377,0.257,1,"3","Tjp2"
0.00078640945498767,0.405573146984134,0.8,0.742,1,"3","Clint1"
0.000806617920841616,0.279825202160963,0.992,0.943,1,"3","Taf10"
0.000818707999340478,0.337968825309593,0.854,0.785,1,"3","Prpf19"
0.000820682269226517,0.328526489988082,0.938,0.858,1,"3","Tmem97"
0.000821441857842639,0.480862713720699,0.685,0.56,1,"3","Ddah1"
0.000827319300399468,0.380113888664599,0.815,0.761,1,"3","Trappc3"
0.0008335575128964,0.542649569129492,0.646,0.6,1,"3","Tjp1"
0.000857890345732458,0.432344264945303,0.808,0.743,1,"3","Scpep1"
0.000863418145427099,0.483707476572521,0.731,0.642,1,"3","Bloc1s2"
0.000872609883204485,0.926979478721174,0.346,0.23,1,"3","Spire1"
0.000884531374393108,0.666211574616043,0.462,0.344,1,"3","Nudt14"
0.000896209467332747,0.494808003767485,0.738,0.709,1,"3","Vps72"
0.000911867549982889,0.454624377495676,0.785,0.702,1,"3","Trabd"
0.000914185322976787,0.856757647089469,0.346,0.223,1,"3","G930009F23Rik"
0.000914704227302148,0.688944860269128,0.554,0.476,1,"3","Mvk"
0.000919937861871917,0.515181253205864,0.785,0.715,1,"3","Mtx1"
0.000926986507758842,0.563167982455241,0.538,0.437,1,"3","Kdm2a"
0.00093270545996876,0.877062681771198,0.369,0.259,1,"3","Mtf1"
0.00093391330339084,0.777273495569818,0.477,0.386,1,"3","Tubgcp2"
0.000938349448562024,0.527838625574609,0.585,0.5,1,"3","Wdr3"
0.000975735712458278,0.35360079759378,0.923,0.86,1,"3","G3bp2"
0.000988931921426572,0.486097556445062,0.623,0.527,1,"3","Tmem37"
0.00100774777791621,0.588124163884705,0.615,0.524,1,"3","Ebpl"
0.00100822126699889,0.373262348021032,0.831,0.781,1,"3","Cdkn2aipnl"
0.00104086412095245,0.529308128786199,0.669,0.579,1,"3","Med31"
0.00106735212125699,1.02165715325608,0.354,0.231,1,"3","Id3"
0.00108624274405564,0.322787570438791,0.869,0.763,1,"3","Snap47"
0.00113670207090718,0.570540277728499,0.538,0.417,1,"3","Frmd6"
0.00116492867248897,0.539899236186258,0.585,0.455,1,"3","Stk3"
0.00116762947494509,0.334187717885615,0.908,0.913,1,"3","Psmg4"
0.00116885245892497,0.419008672633333,0.746,0.675,1,"3","Tmem109"
0.00119742801124196,0.537826919341115,0.646,0.552,1,"3","Gps2"
0.00121179449639952,0.41124800617177,0.938,0.872,1,"3","Cryab"
0.00121731738921309,1.12266055763401,0.254,0.147,1,"3","Cxcl1"
0.001223228574419,0.307468559415059,0.9,0.857,1,"3","Dgcr6"
0.00123014555282732,0.668982504564057,0.515,0.405,1,"3","Ctr9"
0.00124241726455407,1.02836059078854,0.292,0.189,1,"3","Tmem218"
0.00124331487805746,0.657980178695507,0.385,0.262,1,"3","Bcar3"
0.00124772151893622,0.472204735136182,0.677,0.59,1,"3","Cops3"
0.00126407866013259,0.275156307254038,0.885,0.882,1,"3","Nsmce4a"
0.00128414179797877,0.608354865787066,0.538,0.436,1,"3","Stx18"
0.00129299305848791,0.443686515242159,0.677,0.579,1,"3","Mkrn1"
0.00129831693298021,0.796228359487693,0.415,0.295,1,"3","Cnp"
0.00134722167229617,0.515125087072555,0.677,0.575,1,"3","Pigk"
0.00135284538880702,0.289652898668871,0.854,0.771,1,"3","Pold2"
0.00136043133757617,0.867141989823598,0.385,0.281,1,"3","Chd1l"
0.00136473045343377,1.12224793361444,0.277,0.178,1,"3","Cd248"
0.00136641910934587,0.293198776162369,0.938,0.909,1,"3","Pdlim2"
0.00136942167306856,0.557609650639491,0.6,0.512,1,"3","Pcdh18"
0.00138446737781452,0.630394535691641,0.523,0.425,1,"3","ENSMUSG00000135315"
0.00138726831944646,0.959490276331743,0.269,0.166,1,"3","Ece1"
0.0013873062379885,0.595081680353086,0.6,0.507,1,"3","Bcar1"
0.00139229502034578,0.775789139053785,0.338,0.223,1,"3","Pex16"
0.00143390666129135,0.335262941904402,0.885,0.841,1,"3","Rtca"
0.00144930078490463,0.909997908988609,0.285,0.171,1,"3","Efcab11"
