"","Control","sgAxl","sgPrmt1","sgRipk1"
"Bzw1",3.11368969718701,3.00830933663999,2.8924943616919,2.56641437903255
"Nif3l1",0.336153364790833,0.360087345932665,0.247763462500957,0.20377508743976
"Cflar",0.33342474804466,0.283785063868862,0.280576198866485,0.219928466177797
"Rnf2",0.340111096393043,0.489601509246284,0.380966746957749,0.374623293595403
"Nit1",0.129879791232892,0.235912403007798,0.145364588914965,0.191687884364989
"Aqr",0.37134708257225,0.338115539073902,0.369323172832232,0.21926889976325
"Dstn",3.64178920735634,3.43530316020968,2.84446738225903,3.73483006037784
"Pigu",0.16301874086639,0.0815424146569606,0.164231316775373,0.102704237474396
"Zhx3",0.0968960023319571,0.0365273267975828,0.0438521767860915,0.0731725823141985
"Cse1l",1.13849530564354,1.12872614639616,1.12069361511466,0.890089964849809
"Tm4sf1",11.5941215885196,11.774847230503,9.23543377821498,11.2354226449133
"Ostc",4.52103137633505,4.38719618487288,4.26034050676643,3.9594322450181
"Ccn1",2.81630254331167,2.33681993121706,1.70483851357908,2.39699909782539
"Srm",3.31100232042453,3.33578457446317,2.3155264934144,3.04924198888876
"BC039966",0.0763930888893641,0.0384481902581919,0.0701958751863342,0.0818584059491093
"Emilin1",0.235989442673304,0.254983264986809,0.438531307959954,0.275820268625031
"C530043K16Rik",0.150042553059809,0.060872591764422,0.159444705897796,0.125873188704688
"Slc15a4",0.0443595724570886,0.0390897242170779,0.0720521972580931,0.124246151818968
"Etnk1",0.240734228255642,0.371741259521497,0.408368553059186,0.337634008574951
"Axl",1.18194579671113,0.641487418936829,1.31183968627102,1.17343244971631
"Prmt1",3.1842209394461,3.30047859132933,1.93396337646306,3.17272621414083
"Prss23",0.790873834624027,0.678633806861066,0.423123374339596,0.969201824300743
"Tufm",0.32608878646983,0.474890014900952,0.403847261275731,0.456172529998903
"Ppp2cb",0.759437141524147,0.783578675660808,0.519929614354463,0.718735981582147
"Map1s",0.647779330714731,0.563831434809697,0.523686850620333,0.416044524801188
"4921524J17Rik",0.572213170082706,0.533188012439345,0.330270498389051,0.519658881160621
"Gsta4",0.102083599061017,0.0959303617297146,0.461797332522443,0.102786321894737
"Nup43",0.865209650945947,0.904211877827059,0.740462135825204,0.628922674043487
"Hk1",0.275183802599715,0.19027700818963,0.169112022621331,0.167245176225364
"Mtmr3",0.12101859080001,0.184252999579849,0.152104069589557,0.221909655864603
"Acsf2",0.0886108304945204,0.0668463941455185,0.0878513609793645,0.0279597261014539
"Lsm12",2.47241475598452,2.37666751994612,2.3312603951335,2.12780948254318
"Dcaf7",0.398808700221327,0.266180799455432,0.39611487656986,0.305934024701505
"Kctd2",0.252190555439075,0.122644415206331,0.196533618356027,0.188032265583486
"Rrm2",1.73273309971047,1.64043202282237,1.20431040113172,1.60115814839871
"Gm47096",0.0466118034101955,0.092654562151566,0.0524722753273358,0.0792864582450545
"B3galnt2",0.209711105197348,0.174248859016308,0.155330753907705,0.107352951413968
"Ddx41",0.675877302224483,0.70900589572219,0.979868013352881,0.667048992465276
"Pitx1",0.632940856928886,0.516898302602682,0.448421307937448,0.446321287489094
"Ctsl",34.1641058943309,34.2111385792698,45.0276902698722,34.5277211640268
"Ccdc127",0.852967947401694,0.708442148907848,0.742772093931517,0.609130625917422
"Serf1",0.688185586792869,0.669351839170696,1.10404877808777,0.607344759775305
"Zdhhc20",0.478249444124872,0.330954897261592,0.385240036077001,0.380599163123931
"Mipep",0.0773034222971246,0.0502752532056849,0.0274359672878463,0.0233375429484793
"Fam83f",0.0302170173220447,0.0772923846472739,0.0415396636243704,0.0628570589025862
"Pmm1",0.489709839873492,0.583484832581971,0.623080110352263,0.708351533201568
"Prr5",0.231664900347481,0.242662062619663,0.21824028845167,0.150714419572143
"Fam118a",0.132342791255752,0.101834724192313,0.0938447742664911,0.0590066204277664
"Tfap4",0.226957673363843,0.13341320535499,0.13261632091214,0.140117958554185
"Alcam",0.0455353955629027,0.0660110537610984,0.154648861029058,0.0524982553704465
"Brpf3",0.0223899569315904,0.0621027573013635,0.0465196305587268,0.0432600209599909
"Myl12a",9.58480249944331,9.19980519160228,7.88688999540903,8.87587517191016
"Impact",0.525608298441876,0.591210139561263,1.01023269870331,0.653103553356616
"Socs6",0.175548006700553,0.264188735303424,0.240631730635165,0.208762190318901
"Sac3d1",0.373164645915348,0.368479988934233,0.168687315494045,0.342293431927691
"Ankrd1",5.99906338490419,5.27194443698835,3.97164670799846,5.2243654123873
"Pgam1",6.99064920976,7.05464820451218,5.60328355577838,6.79384342300621
"Apool",0.308713062130915,0.442867726198072,0.334064232950853,0.369948430585996
"mt-Ta",0.19030258621557,0.112854870646109,0.147889647703026,0.0965601739416452
